Answer.Q1Answer,Input.word1,Input.word2
no,berry,गन्धपूरा
yes,berry,रास्पबेरी
yes,berry,स्ट्रॉबेरी
yes,berry,ब्लैकबेरी
yes,berry,लोगान्बेरि
yes,berry,शहतूत
yes,berry,तेंदू
no,berry,ख़ुरमा
yes,berry,ब्लूबेरी
yes,berry,कीवी
yes,berry,अंगूर
yes,hand_tool,खुरचनी
no,hand_tool,नाव
no,hand_tool,फ्लोट
yes,hand_tool,सूआ
yes,hand_tool,रिंच
yes,hand_tool,पाना
no,hand_tool,समतल
no,hand_tool,विमान
no,hand_tool,वर्गाकार
no,hand_tool,वर्ग
no,hand_tool,रंग
no,hand_tool,मूसल
yes,hand_tool,सरौता
yes,hand_tool,हथौड़ा
no,hand_tool,अंट्रा
yes,hand_tool,फावड़ा
yes,hand_tool,पेचकश
yes,hand_tool,पेंचकस
no,hand_tool,सवार
no,hand_tool,फ़ाइल
no,hand_tool,सनकी
no,hand_tool,क्रैंक
no,hand_tool,देखा
yes,hand_tool,करणी
no,hand_tool,लेने
no,hand_tool,बरमाना
yes,hand_tool,क्लैंप
no,hand_tool,दबाना
no,hand_tool,ब्रेस
no,hand_tool,मैलेट
no,hand_tool,गैंती
no,crustacean,थकानेवाला
yes,crustacean,ऐम्फिपोडा
no,crustacean,क्रिल्ल
yes,crustacean,झींगा
yes,crustacean,क्रेफ़िश
no,crustacean,क्लोमपाद
no,crustacean,चिंराट
yes,crustacean,केकड़ा
yes,cutlery,चम्मच
yes,cutlery,चमचा
yes,cutlery,कांटा
no,vertebrate,भ्रूण
no,vertebrate,उभयचर
yes,vertebrate,पक्षी
no,vertebrate,साँप
no,vertebrate,सरीसृप
yes,vertebrate,स्तनपायी
yes,vertebrate,स्तनधारी
yes,vertebrate,नाक
no,vertebrate,पर्सिफ़ोर्मेज़
no,reptile,कछुआ
yes,reptile,छिपकली
yes,reptile,साँप
no,reptile,बासीलीक
no,reptile,गेको
yes,reptile,मगरमच्छ
no,reptile,टेरोसार
no,reptile,टेरोसोर
no,reptile,मीनसरीसृप
no,anger,अपराध
yes,anger,आक्रोश
yes,anger,रोष
yes,anger,क्रोध
no,anger,तैश
yes,building,तारामंडल
yes,building,ताराघर
yes,building,मुर्दाघर
no,building,बर्बाद
yes,building,स्नानागार
yes,building,मंज़िल
no,building,मंजिला
no,building,वास्तुकला
yes,building,वेश्यालय
no,building,गणिकागृह
yes,building,चिड़ियाखाना
yes,building,एवियरी
yes,building,शयनागार
yes,building,होटल
no,building,वेधशाला
yes,building,हाउस
yes,building,घर
yes,building,मंत्रालय
no,building,रिंक
no,building,पंख
yes,building,क़साईख़ाना
yes,building,छत
yes,building,पुस्तकालय
yes,building,रेस्टोरेंट
yes,building,रेस्तरां
yes,building,मंदिर
yes,building,मन्दिर
yes,building,झरोखा
yes,building,ग्रीनहाउस
yes,building,पूजास्थान
yes,building,विद्यालय
yes,building,स्कूल
yes,building,केंद्र
yes,building,हॉल
yes,building,मधुशाला
yes,building,रोटोंडा
yes,building,थियेटर
yes,building,थिएटर
no,building,नैव
yes,building,चर्च
yes,building,गेराज
yes,building,आश्रम
no,building,खलिहान
no,building,गगनचुंबी
no,building,राजगीरी
no,building,चिनाई
no,building,स्थिर
no,building,लम्बाघर
yes,building,बाँध
yes,building,बांध
yes,building,प्रकाशस्तम्भ
yes,building,प्रकाशस्तंभ
yes,building,बैरकों
yes,building,किलाबंदी
yes,building,दुर्ग
yes,building,कर्मशाला
yes,building,कार्यशाला
yes,building,मंडप
yes,drug,मादक
no,drug,प्रतिपक्षी
yes,drug,चिकित्सा
no,drug,आयुर्विज्ञान
no,drug,संखिया
no,drug,आर्सेनिकीय
yes,drug,नशा
no,drug,फिरंगरोधी
yes,drug,स्वापक
no,drug,वनस्पति
yes,drug,संवेदनाहारी
yes,drug,मूत्रवर्धक
no,drug,उत्तेजक
yes,drug,एम्फ़ैटेमिन
yes,drug,केटामाइन
yes,drug,डोपिंग
yes,drug,एस्पिरिन
yes,drug,एस्पिरीन
yes,drug,एनाल्जेसिक
no,drug,पीड़ाहारी
yes,drug,अफ़ीम
yes,drug,मॉरफीन
yes,drug,डायजेपाम
yes,drug,डायजे़पाम
yes,drug,स्ट्रेप्टोमाइसिन
no,drug,निषेध
yes,drug,ज्वरहारी
yes,drug,ज्वरनाशक
no,musical_instrument,संगीतकार
yes,musical_instrument,कैलियोप
no,musical_instrument,बास
no,musical_instrument,अंग
yes,musical_instrument,सैक्सोफोन
yes,musical_instrument,पियानो
yes,musical_instrument,तुरही
yes,musical_instrument,बैंजो
yes,musical_instrument,घंटी
yes,musical_instrument,वाइब्राफोन
yes,musical_instrument,टिंपनो
no,musical_instrument,डफ
yes,musical_instrument,चंग
no,musical_instrument,त्रिभुज
no,musical_instrument,त्रिकोण
yes,musical_instrument,शहनाई
yes,musical_instrument,हार्पसीकोर्ड
yes,musical_instrument,वाइल
yes,musical_instrument,अरहु
yes,musical_instrument,मेटैलोफोन
yes,musical_instrument,बोज़ूकी
no,musical_instrument,परदा
no,musical_instrument,झल्लाहट
no,musical_instrument,मूक
yes,musical_instrument,बांसुरी
no,musical_instrument,बेला
yes,musical_instrument,ओबाउ
no,musical_instrument,डबलबस
yes,musical_instrument,एकार्डियन
no,musical_instrument,मापयंत्रण
no,musical_instrument,उपकरण
no,musical_instrument,धनुष
yes,musical_instrument,शॉम
yes,musical_instrument,पैंडिएरो
yes,musical_instrument,निकलहार्पा
yes,musical_instrument,ड्रम
no,percussion_instrument,घडि़याल
yes,percussion_instrument,झंकार
yes,percussion_instrument,कैस्टनीटस
yes,percussion_instrument,ड्रम
yes,percussion_instrument,पियानो
yes,percussion_instrument,टिंपनो
yes,percussion_instrument,झांझ
yes,percussion_instrument,वाइब्राफोन
no,percussion_instrument,त्रिभुज
no,percussion_instrument,त्रिकोण
yes,percussion_instrument,घंटी
yes,percussion_instrument,ढोलक
no,percussion_instrument,गायरो
yes,percussion_instrument,तबला
yes,percussion_instrument,मृदंग
yes,percussion_instrument,मृदंगम
yes,percussion_instrument,क्लेव
no,furniture,दीपक
no,furniture,निर्धारण
yes,furniture,चारपाई
no,furniture,स्लीपर
no,furniture,कोठरी
no,furniture,घोसला
no,furniture,घोंसला
yes,furniture,शेराटन
yes,furniture,सीट
yes,furniture,तालिका
yes,furniture,मेज
no,furniture,सारणी
yes,furniture,कैबिनेट
no,furniture,मल
yes,furniture,कमोड
no,furniture,छाती
no,furniture,कंफ़ेसियनल
no,furniture,इकबालिया
yes,bird,आर्कियोप्टेरिक्स
yes,bird,मुर्गी
yes,bird,पासरीन
no,bird,सकूटिक
yes,bird,तोता
no,bird,निगल
yes,bird,पेंगुइन
yes,bird,लवा
no,bird,तैसा
yes,bird,लैपविंग
no,bird,ड्रोंगो
yes,bird,बटेर
yes,bird,बगुला
yes,bird,बगला
yes,bird,मैना
yes,bird,गरुड़
yes,bird,गरुड
yes,bird,कौआ
yes,bird,तुफ़ानी
yes,bird,धनेश
yes,bird,हॉर्नबिल
yes,bird,गैनिट
yes,bird,हंस
no,bird,जे
yes,bird,एन्हिंगा
no,bird,कूट
no,bird,सिल्विया
yes,bird,नैटजा
no,bird,सोच
no,bird,पौना
yes,bird,फ़ीनिक्स
yes,bird,गिद्ध
yes,bird,तुगदर
yes,bird,चिड़ियों
yes,bird,हवासील
yes,bird,बुनकर
no,bird,महाश्येन
yes,bird,ईगल
yes,bird,काकातुआ
yes,bird,कौकेटू
yes,bird,चिड़िया
no,bird,गुनगुनानेवाला
yes,bird,हुपु
no,bird,चिल्लानेवाला
no,bird,फ्रैंकोलिन
no,bird,शिखा
no,bird,मोहिनी
yes,bird,वेग्टेल
no,bird,खंजन
yes,bird,चरद्रीफोर्मेस
no,bird,शिक्र
yes,bird,सरौता
yes,bird,शुतुरमुर्ग
yes,bird,होएनिकोप्तेरिफ़ोर्मेस
yes,bird,वुडकॉक
yes,bird,तीतर
no,bird,जलकाक
yes,bird,जलकाग
yes,bird,सारस
no,bird,फ़सल
no,bird,फसल
no,bird,नीचे
yes,bird,बाज़
no,bird,प्लोवर
yes,bird,कबूतर
yes,bird,पनमुर्ग़ी
no,bird,कार्डिनल
no,bird,कीवी
no,bird,औक
yes,bird,मोआ
yes,bird,सीबर्ड
no,bird,ठगना
yes,bird,नाइटहॉक
yes,bird,कैनवासबेक
no,garment,पंचमेल
no,garment,ऊर्णाजिन
no,garment,फर
yes,garment,दुपट्टा
yes,garment,सूट
yes,garment,बिकनी
yes,garment,लंगोटी
no,garment,टाट
no,garment,अलग
yes,garment,कैमलीट
yes,garment,बागे
yes,garment,कपड़ा
yes,garment,बुरका
yes,garment,बुर्का
yes,garment,शर्ट
yes,garment,रेशम
no,garment,हथकड़ी
yes,garment,स्वेटर
yes,garment,तोशक
yes,garment,बनियान
yes,garment,घूंघट
yes,garment,स्कर्ट
no,garment,रागलाण
yes,garment,डायपर
no,garment,नली
yes,garment,नेकटाइयां
no,garment,इस्त्री
no,garment,प्रतिवर्ती
yes,garment,पतलून
