word1,word2
game,輪盤
science,预后
bird,尖歡鱂
statement,总结
mammal,育幼袋
feeling,矛盾心理
musical_instrument,风笛
vehicle,预告片
herb,羅勒
tree,槐属
herb,毛茛
reptile,盤龍目
symptom,喘鸣
linguistics,辭書學
bird,鹤鸵
feeling,希望
bird,鹳科
mammal,浣熊屬
flora,孢子体
performer,口技
fruit,膠囊劑
flora,旱生植物
building,摩天楼
symptom,低蛋白血症
tree,桦木属
athletics,划船
science,计量学
mammal,鹿科
fruit,貝里
mammal,啮齿目
crustacean,鼠妇
flora,品种
bird,原鳥屬
artist,摄影师
bird,巨鷹
tree,望天树
vertebrate,前脑
fish,吴郭鱼
linguistics,字
fauna,害蟲
drug,植物
artist,大师
hand_tool,平面
furniture,截
crustacean,猬虾下目
science,生物分类学
science,农学
symptom,闭经
berry,柑果
herb,蜘蛛抱蛋属
musical_instrument,弓
tree,露兜树属
garment,概括的
game,颇尔商城
building,鸟舍
mammal,未
building,豪斯医生
vehicle,雪地车
science,结晶学
chemical_substance,神经递质
mammal,白鼬
building,住宅
vehicle,客车
feeling,情結
chemical_substance,底
food,糖果糕點
building,殮房
science,協同效應
drug,亚甲二氧基甲基安非他明
fruit,橄欖
science,电子产品
flora,红树
herb,葶苈属
bird,田凫
bird,鷹撞擊坑
performer,喜劇演員
emotion,仇
weapon,大锤
herb,蓬子菜
herb,風鈴草屬
bird,鼠鸟目
symptom,炎症
musical_instrument,鐘
crustacean,短尾
athletics,掺杂
flora,款冬花
house,建筑物
food,餐馆
statement,轻描淡写
hand_tool,正方形
bird,秋沙鴨亞科
athletics,竞走
symptom,窒息
symptom,抽搐
flora,苔
weapon,棍
drink,賓治酒
rodent,梳齿鼠科
tree,斧
symptom,黑蒴属
bird,紅雀號
bird,不死鳥
rodent,侏儒倉鼠
mammal,巨犀
vertebrate,四足动物
statement,石頭人
linguistics,语用学
feeling,羞怯
garment,富爾島
herb,角胡麻
mammal,袋狸目
chemical_substance,毒性
food,美食
food,香腸
chemical_substance,水
flora,农作物
game,跳房子
drug,链霉素
bird,裸鼻鸱科
drug,安非他明
science,特许任教资格
herb,岩白菜属
fauna,未
bird_of_prey,鹰
crustacean,卤虫
linguistics,一词多义
drug,退烧药
fruit,葫芦
fauna,幸存者
bird,海鸚
bird,孔雀座
mammal,劍羚
tree,咖啡
building,毂
building,中锋
drink,格鬥少年菀得
percussion_instrument,刮瓜
flora,扁桃
mammal,赤色要塞
wind_instrument,器官
symptom,胺基酸
fruit,瓜
bird,细尾鹩莺科
weapon,吹箭筒
food,米糠
statement,真理
vertebrate,哺乳动物
game,耐心
herb,獐耳细辛属
game,賭城風雲
symptom,嗜酸细胞
bird,犀鸟科
mammal,始祖獸
chemical_substance,催化
tree,灌木
bird,角嘴海雀
fruit,核果
weapon,鲧
flora,柳宿
